C:\Users\p\source\repos\github_test001\github_test001\bin\Release>netstat -ano
Active Connections
  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       952
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       4620
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       5928
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       532
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1212
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1280
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2412
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       676
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       696
  TCP    127.0.0.1:49915        127.0.0.1:49916        ESTABLISHED     7716
  TCP    127.0.0.1:49916        127.0.0.1:49915        ESTABLISHED     7716
  TCP    127.0.0.1:49917        127.0.0.1:49918        ESTABLISHED     8064
  TCP    127.0.0.1:49918        127.0.0.1:49917        ESTABLISHED     8064
  TCP    192.168.18.95:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.18.95:51316    52.96.121.34:443       ESTABLISHED     7716
  TCP    192.168.18.95:52493    20.198.119.84:443      ESTABLISHED     2904
  TCP    192.168.18.95:52986    34.107.243.93:443      ESTABLISHED     7716
  TCP    192.168.18.95:53270    52.182.141.63:443      ESTABLISHED     8452
  TCP    192.168.18.95:53305    20.200.245.245:443     CLOSE_WAIT      10976
  TCP    192.168.18.95:53308    149.112.122.10:443     ESTABLISHED     7716
  TCP    192.168.18.95:53310    40.64.66.113:443       TIME_WAIT       0
  TCP    [::]:135               [::]:0                 LISTENING       952
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       5928
  TCP    [::]:49664             [::]:0                 LISTENING       532
  TCP    [::]:49665             [::]:0                 LISTENING       1212
